,Group Name,Status,Title,Description,Owner,Goal,Average,Total,Dec 30 - Jan 05,Dec 23 - Dec 29,Dec 16 - Dec 22,Dec 09 - Dec 15,Dec 02 - Dec 08,Nov 25 - Dec 01,Nov 18 - Nov 24,Nov 11 - Nov 17,Nov 04 - Nov 10,Oct 28 - Nov 03,Oct 21 - Oct 27,Oct 14 - Oct 20,Oct 07 - Oct 13,Sep 30 - Oct 06,Sep 23 - Sep 29,Sep 16 - Sep 22,Sep 09 - Sep 15,Sep 02 - Sep 08,Aug 26 - Sep 01,Aug 19 - Aug 25,Aug 12 - Aug 18,Aug 05 - Aug 11,Jul 29 - Aug 04,Jul 22 - Jul 28,Jul 15 - Jul 21,Jul 08 - Jul 14,Jul 01 - Jul 07,Jun 24 - Jun 30,Jun 17 - Jun 23,Jun 10 - Jun 16,Jun 03 - Jun 09,May 27 - Jun 02,May 20 - May 26,May 13 - May 19,May 06 - May 12,Apr 29 - May 05,Apr 22 - Apr 28,Apr 15 - Apr 21,Apr 08 - Apr 14,Apr 01 - Apr 07,Mar 25 - Mar 31,Mar 18 - Mar 24,Mar 11 - Mar 17,Mar 04 - Mar 10,Feb 26 - Mar 03,Feb 19 - Feb 25,Feb 12 - Feb 18,Feb 05 - Feb 11,Jan 29 - Feb 04,Jan 22 - Jan 28,Jan 15 - Jan 21,Jan 08 - Jan 14,Jan 01 - Jan 07
11,Weekly,at-risk,"$ on Reservation - Next 14 days - 3607
",,Tyler Dillon,"> $2,000","$6,599.33",-,"$1,086",$738,"$9,115","$18,324","$26,527","$26,431","$3,567","$2,863","$5,836","$2,643","$4,713","$10,209","$8,475","$8,929","$13,194","$6,684","$8,929","$6,089","$5,658","$3,800","$6,971","$11,253","$4,608","$4,197","$3,108","$8,430","$4,487","$6,746","$10,199","$9,603","$5,213","$8,938","$5,656","$7,988","$2,356","$1,783","$5,452","$4,637","$5,481","$2,046","$3,504",$502,"$1,632","$2,701",$809,$279,"$1,004",$484,"$9,363.19","$9,901.34","$9,095","$9,030","$8,498"
12,Weekly,off-track,"$ on Reservation - Next 14 days - 6800
",,Zack Peterson,"> $5,000","$10,621.96",-,"$1,580",$902,"$2,149","$3,243","$9,492","$9,616","$19,504","$4,440","$11,538","$9,239","$16,868","$19,689","$13,629","$16,915","$16,590","$25,454","$40,087","$21,917","$14,317","$10,904","$10,547","$16,043","$17,893","$10,230","$10,082","$9,065","$15,980","$17,199","$16,869","$12,090","$10,993","$11,893","$9,024","$12,186","$9,673","$12,305","$3,311","$8,634","$11,447","$5,623","$17,158","$8,983","$2,354","$3,609","$7,183","$5,225","$2,574","$3,697","$3,113","$4,159","$2,872",$416,"$2,461"
13,Weekly,off-track,$ on Reservation - Next 14 days - 728,,Bruce Volk,"> $2,000","$5,367.11",-,$733,$431,$487,$831,"$2,307","$3,898","$3,337","$2,862","$1,939","$2,902","$2,226","$11,454","$12,675","$12,908","$8,811","$5,408","$3,836","$5,851","$3,971","$2,288","$4,208","$5,341","$7,884","$5,325","$2,725","$3,478","$3,400","$2,874","$6,200","$15,195","$28,666","$37,180","$23,871","$9,399","$3,953","$5,300","$3,181","$3,857","$4,087","$6,501","$2,147",$698,"$2,223","$3,212",$257,$269,$202,$985,$432,$729,$576,$576,$371
14,Weekly,off-track,"$ on Reservation - Next 14 days - 8101
",2-3 week trailing info from Revenue.,Tim Sandahl,"> $75,000","$41,000.64",-,$381,"$2,700","$2,805","$10,280","$23,683","$16,600","$14,111","$9,700","$4,800","$3,900","$9,580","$17,500","$20,050","$62,000","$90,490","$81,800","$74,800","$70,100","$96,500","$65,500","$26,750","$54,800","$93,800","$82,000","$54,363","$73,300","$50,300","$36,970","$17,000","$91,945","$156,000","$144,000","$160,000","$86,000","$65,000","$61,300","$45,000","$32,000","$32,446","$19,500","$4,867","$55,850","$6,999","$3,566","$8,100","$5,700","$2,000","$6,300","$3,500","$8,078","$2,620","$1,300","$4,400"
15,Weekly,at-risk,"Total $ on Reservation 3607
",Total $ on Reservation: Program Menu&gt;Analysis Reports&gt;Reservation Analysis&gt;Reservation Value Report&gt;Total Amount (3rd column),Tyler Dillon,"> $7,500","$13,377.28",-,"$2,025","$1,556","$9,658","$18,954","$27,187","$27,091","$28,649","$25,987","$29,422","$26,037","$30,675","$10,837","$10,464","$13,696","$18,099","$17,680","$16,711","$15,052","$11,104","$11,728","$13,908","$13,460","$8,901","$7,954","$5,743","$11,352","$7,970","$11,494","$14,740","$14,517","$17,411","$18,101","$19,797","$18,943","$16,484","$12,305","$16,068","$11,752","$11,718","$8,666","$8,721","$8,175","$7,798","$6,735","$5,241","$3,810","$1,585","$1,472","$10,440","$11,495","$10,969","$9,474","$9,185"
16,Weekly,off-track,"Total $ on Reservation 6800
",Total $ on Reservation: Program Menu&gt;Analysis Reports&gt;Reservation Analysis&gt;Reservation Value Report&gt;Total Amount (3rd column),Zack Peterson,"> $15,000","$19,221.34",-,"$2,968","$2,290","$2,149","$3,243","$9,492","$10,704","$19,504","$15,432","$13,613","$12,620","$28,161","$32,195","$34,410","$39,095","$46,586","$50,084","$69,763","$67,634","$41,141","$37,104","$36,148","$27,712","$29,325","$25,350","$19,752","$18,735","$23,666","$25,296","$25,941","$18,960","$16,244","$16,293","$21,898","$18,183","$14,465","$14,003","$9,114","$10,900","$13,081","$13,485","$18,587","$12,957","$8,530","$4,713","$7,596","$6,327","$2,987","$4,552","$4,506","$4,602","$3,315",$859,"$2,461"
17,Weekly,off-track,Total $ on Reservation 728,Total $ on Reservation: Program Menu&gt;Analysis Reports&gt;Reservation Analysis&gt;Reservation Value Report&gt;Total Amount (3rd column),Bruce Volk,"> $7,500","$17,938.58",-,"$3,481","$3,179","$3,235","$3,579","$5,303","$6,878","$7,168","$7,288","$5,448","$6,090","$11,004","$15,717","$17,615","$19,957","$19,575","$19,985","$12,004","$17,063","$12,079","$11,180","$11,174","$11,491","$14,255","$14,642","$13,758","$12,828","$11,708","$11,328","$13,976","$23,070","$33,567","$54,565","$58,706","$57,033","$51,583","$50,704","$45,859","$39,909","$35,121","$31,951","$22,869","$19,383","$19,427","$17,434","$12,065","$11,332","$9,845","$8,186","$5,639","$6,624","$4,364","$3,971","$4,550"
18,Weekly,off-track,"Total $ on Reservation 8101
",Total $ on Reservation: Program Menu&gt;Analysis Reports&gt;Reservation Analysis&gt;Reservation Value Report&gt;Total Amount (3rd column),Tim Sandahl,"> $175,000","$248,439.51",-,"$75,896","$78,525","$78,356","$83,192","$95,095","$87,073","$76,569","$52,667","$51,053","$51,107","$47,492","$51,753","$57,029","$94,298","$135,905","$147,768","$176,442","$196,252","$232,900","$238,105","$229,506","$240,712","$281,925","$300,176","$320,957","$347,914","$336,272","$346,233","$349,025","$368,009","$408,773","$487,712","$535,710","$520,826","$515,700","$500,425","$506,111","$450,193","$424,883","$358,845","$322,949","$364,315","$320,106","$318,624","$286,023","$267,665","$248,478","$215,363","$220,259","$194,304","$184,749","$158,488","$128,587"
19,Weekly,on-track,"% -Total AR ($) > 45 days
",% of AR over 45 days: Program Menu&gt;Accounts Receivable&gt;Print Aged Customer Balance&gt;Account &gt;Age Columns for 45-75-105&gt;Report Totals&gt;(45+75+105)/Total=%,Paula Gavin,< 20%,13.49%,-,9%,14%,14%,6%,5%,10%,16%,24%,24%,7%,4%,13%,11%,28%,22%,15%,26%,7%,9%,7%,8%,11%,13%,7%,6%,14%,6%,7%,7%,5%,4%,3%,18%,18%,7%,7%,12%,18%,16%,18%,10%,7%,4%,4%,17%,5%,10%,8%,20%,54%,32%,27%,41%
20,Weekly,at-risk,"Total Discount $ Company Wide
",Total Discount $: Program Menu&gt;Override Reports&gt;Coupons Given&gt;Set date range&gt;All stores,Chad Wagner,"< $1,000",$315.19,-,$0,$0,$150,$196,$290,$210,$591,$215,$335,$964,$150,$845,$672,$520,$190,$45,$612,$470,$200,"$1,255",$515,$430,$235,$260,$216,$77,$124,$363,$681,$895,$478,$0,$521,$80,$128,$62,$647,$520,$218,$25,$0,$92,$758,$225,$180,$0,$114,$313,$345,$14,$100,$39,$140
